name,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15
Umar,USA Diner Haven,USA Diner Haven,USA Diner Haven,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro
Katie,USA Diner Haven,,USA Diner Haven,USA Diner Haven,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro
Oscar,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro
Zach,USA Diner Haven,USA Diner Haven,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro
Leo,USA Diner Haven,USA Diner Haven,USA Diner Haven,American Flavors Bistro,USA Diner Haven,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro
David,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,American Flavors Bistro,American Flavors Bistro
Quincy,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven
Jack,USA Diner Haven,American Flavors Bistro,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro
Xena,USA Diner Haven,American Flavors Bistro,USA Diner Haven,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro
Bob,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,USA Diner Haven,,,,USA Diner Haven,American Flavors Bistro,American Flavors Bistro,American Flavors Bistro
