name,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15
Alice,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven
Bob,USA Diner,American Flavor Haven,USA Diner,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven
Charlie,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven
David,USA Diner,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven
Eve,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner
Frank,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven
Grace,USA Diner,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven
Henry,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven
Ivy,USA Diner,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven
Jack,USA Diner,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven,American Flavor Haven
