name,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15
Alice,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ
Bob,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ
Charlie,American Gourmet Bistro,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ
David,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ
Eve,American Gourmet Bistro,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ
Frank,American Gourmet Bistro,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ
Grace,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ
Henry,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ
Ivy,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ
Jack,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ,Stars & Stripes BBQ
