name,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15
Alice,American Epicurean Delight,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner
Bob,American Epicurean Delight,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner
Charlie,American Epicurean Delight,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner
David,American Epicurean Delight,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner
Eve,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight
Frank,American Epicurean Delight,USA Diner,USA Diner,USA Diner,USA Diner,American Epicurean Delight,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner
Grace,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner
Henry,American Epicurean Delight,USA Diner,American Epicurean Delight,USA Diner,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,USA Diner,American Epicurean Delight,American Epicurean Delight,USA Diner,USA Diner,USA Diner,USA Diner
Ivy,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner
Jack,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner
Katie,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner
Leo,American Epicurean Delight,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner
Maggie,American Epicurean Delight,USA Diner,American Epicurean Delight,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner
Nate,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner
Olivia,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner
Peter,American Epicurean Delight,USA Diner,USA Diner,USA Diner,American Epicurean Delight,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner
Quinn,American Epicurean Delight,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner
Rachel,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner
Sam,American Epicurean Delight,USA Diner,USA Diner,USA Diner,American Epicurean Delight,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner
Tara,American Epicurean Delight,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner
Umar,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner
Vicky,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,USA Diner,American Epicurean Delight,American Epicurean Delight,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner
William,American Epicurean Delight,USA Diner,USA Diner,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,USA Diner,USA Diner,USA Diner,USA Diner,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,USA Diner
Xena,American Epicurean Delight,USA Diner,USA Diner,American Epicurean Delight,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner
Yasmine,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,American Epicurean Delight,USA Diner,USA Diner,American Epicurean Delight,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner
Zach,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,USA Diner,American Epicurean Delight,American Epicurean Delight
